# Native language names
# extracted from http://td.unfoldingword.org/exports/langnames.json

aa	Afaraf
jus	Jumla Sign Language
jut	Jutish
juu	Ju
juw	Wãpha
juy	Juray
jv	basa Jawa
jvd	Javindo
jvn	Caribbean Javanese
jwi	Jwira-Pepesa
jya	Jiarong
jye	Judeo-Yemeni Arabic
jyy	Jaya
ka	ქართული
kaa	Kara-Kalpak
kab	Kabyle
kac	Kachin
kad	Adara
kaf	Katso
kag	Kajaman
kah	Kara (Central African Republic)
kai	Karekare
kaj	Jju
kak	Kayapa Kallahan
kam	Kamba (Kenya)
kao	Xaasongaxango
kap	Bezhta
kaq	Capanahua
kav	Katukína
kaw	Kawi
kax	Kao
kay	Kamayurá
kbb	Kaxuiâna
kbc	Kadiwéu
kbd	Kabardian
kbe	Kanju
kbg	Khamba
kbh	Camsá
kbi	Kaptiau
kbj	Kari
kbk	Grass Koiari
kbl	Kanembu
kbm	Iwal
kbn	Kare (Central African Republic)
kbo	Keliko
kbp	Kabiyè
kbq	Kamano
kbr	Kafa
kbs	Kande
kbt	Abadi
kbu	Kabutra
kbv	Dera (Indonesia)
kbw	Kaiep
kbx	Ap Ma
kby	Manga Kanuri
kbz	Duhwa
kca	Khanty
kcb	Kawacha
kcc	Lubila
kcd	Ngkâlmpw Kanum
kce	Kaivi
kcf	Ukaan
kcg	Tyap
kch	Vono
kci	Kamantan
kcj	Kobiana
kck	Kalanga
kcl	Kela (Papua New Guinea)
kcm	Gula (Central African Republic)
kcn	Nubi
kco	Kinalakna
kcp	Kanga
kcq	Kamo
kcr	Katla
kcs	Koenoem
kct	Kaian
kcu	Kami (Tanzania)
kcv	Kete
kcw	Kabwari
kcx	Kachama-Ganjule
kcy	Korandje
kcz	Konongo
kdc	Kutu
kdd	Yankunytjatjara
kde	Makonde
kdf	Mamusi
kdg	Seba
kdh	Tem
kdi	Kumam
kdj	Karamojong
kdk	Numèè
kdl	Tsikimba
kdm	Kagoma
kdn	Kunda
kdp	Kaningdon-Nindem
kdq	Koch
kdr	Karaim
kdt	Kuy
kdu	Kadaru
kdw	Koneraw
kdx	Kam
kdy	Keder
kdz	Kwaja
kea	Kabuverdianu
keb	Kélé
kec	Keiga
ked	Kerewe
kee	Eastern Keres
kef	Kpessi
keg	Tese
keh	Keak
kei	Kei
kej	Kadar
kek	Kekchí
kel	Kela (Democratic Republic of Congo)
kem	Kemak
ken	Kenyang
keo	Kakwa
kep	Kaikadi
keq	Kamar
ker	Kera
kes	Kugbo
ket	Ket
keu	Akebu
kev	Kanikkaran
kew	West Kewa
kex	Kukna
key	Kupia
kez	Kukele
kfa	Kodava
kfb	Northwestern Kolami
kfc	Konda-Dora
kfd	Korra Koraga
kfe	Kota (India)
kff	Koya
kfg	Kudiya
kfh	Kurichiya
kfi	Kannada Kurumba
kfj	Kemiehua
kfk	Kinnauri
kfl	Kung
kfm	Khunsari
kfn	Kuk
kfo	Koro (Côte d'Ivoire)
kfp	Korwa
kfq	Korku
kfr	Kachchi
kfs	Bilaspuri
kft	Kanjari
kfu	Katkari
kfv	Kurmukar
kfw	Kharam Naga
kfx	Kullu Pahari
kfy	Kumaoni
kfz	Koromfé
kg	Kikongo
kga	Koyaga
kgb	Kawe
kgc	Kasseng
kgd	Kataang
kge	Komering
kgf	Kube
kgg	Kusunda
kgi	Selangor Sign Language
kgj	Gamale Kham
kgk	Kaiwá
kgn	Karingani
kgo	Krongo
kgp	Kaingang
kgq	Kamoro
kgr	Abun
kgs	Kumbainggar
kgt	Somyev
kgu	Kobol
kgv	Karas
kgw	Karon Dori
kgx	Kamaru
kgy	Kyerung
kha	Khasi
khb	Lü
khc	Tukang Besi North
khd	Bädi Kanum
khe	Korowai
khf	Khuen
khg	Khams Tibetan
khh	Kehu
khj	Kuturmi
khk	Halh Mongolian
khl	Lusi
khn	Khandesi
kho	Khotanese
khp	Kapori
khq	Koyra Chiini Songhay
khr	Kharia
khs	Kasua
kht	Khamti
khu	Nkhumbi
khv	Khvarshi
khw	Khowar
khx	Kanu
khy	Kele (Democratic Republic of Congo)
khz	Keapara
ki	Gĩkũyũ
kia	Kim
kib	Koalib
kic	Kickapoo
kid	Koshin
kie	Kibet
kif	Eastern Parbate Kham
kig	Kimaama
kih	Kilmeri
kii	Kitsai
kij	Kilivila
kil	Kariya
kim	Karagas
kio	Kiowa
kip	Sheshi Kham
kiq	Kosadle
kis	Kis
kit	Agob
kiu	Kirmanjki (individual language)
kiv	Kimbu
kiw	Northeast Kiwai
kix	Khiamniungan Naga
kiy	Kirikiri
kiz	Kisi
kj	Kuanyama
kja	Mlap
kjb	Q'anjob'al
kjc	Coastal Konjo
kjd	Southern Kiwai
kje	Kisar
kjf	Khalaj
kjg	Khmu
kjh	Khakas
kji	Zabana
kjj	Khinalugh
kjk	Highland Konjo
kjl	Western Parbate Kham
kjm	Kháng
kjn	Kunjen
kjo	Harijan Kinnauri
kjp	Pwo Eastern Karen
kjq	Western Keres
kjr	Kurudu
kjs	East Kewa
kjt	Phrae Pwo Karen
kju	Kashaya
kjv	Kaikavian Literary Language
kjx	Ramopa
kjy	Erave
kjz	Bumthangkha
kk	қазақ тілі
kka	Kakanda
kkb	Kwerisa
kkc	Odoodee
kkd	Kinuku
kke	Kakabe
kkf	Kalaktang Monpa
kkg	Mabaka Valley Kalinga
kkh	Khün
kki	Kagulu
kkj	Kako
kkk	Kokota
kkl	Kosarek Yale
kkm	Kiong
kkn	Kon Keu
kko	Karko
kkp	Gugubera
kkq	Kaiku
kkr	Kir-Balar
kks	Giiwo
kkt	Koi
kku	Tumi
kkv	Kangean
kkw	Teke-Kukuya
kkx	Kohin
kky	Guguyimidjir
kkz	Kaska
kl	kalaallisut, kalaallit oqaasii
kla	Klamath-Modoc
klb	Kiliwa
klc	Kolbila
kld	Gamilaraay
kle	Kulung (Nepal)
klf	Kendeje
klg	Tagakaulo
klh	Weliki
kli	Kalumpang
klj	Turkic Khalaj
klk	Kono (Nigeria)
kll	Kagan Kalagan
klm	Migum
kln	Kalenjin
klo	Kapya
klp	Kamasa
klq	Rumu
klr	Khaling
kls	Kalasha
klt	Nukna
klu	Klao
klv	Maskelynes
klw	Lindu
klx	Koluwawa
kly	Kalao
klz	Kabola
km	ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ
kma	Konni
kmb	Kimbundu
kmc	Southern Dong
kmd	Majukayang Kalinga
kme	Bakole
kmf	Kare (Papua New Guinea)
kmg	Kâte
kmh	Kalam
kmi	Kami (Nigeria)
kmj	Kumarbhag Paharia
kmk	Limos Kalinga
kml	Tanudan Kalinga
kmm	Kom (India)
kmn	Awtuw
kmo	Kwoma
kmp	Gimme
kmq	Kwama
kmr	Northern Kurdish
kms	Kamasau
kmt	Kemtuik
kmu	Kanite
kmv	Karipúna Creole French
kmw	Komo (Democratic Republic of Congo)
kmx	Waboda
kmy	Koma
kmz	Khorasani Turkish
kn	ಕನ್ನಡ
kna	Dera (Nigeria)
knb	Lubuagan Kalinga
knc	Central Kanuri
knd	Konda
kne	Kankanaey
knf	Mankanya
kng	Koongo
kni	Kanufi
knj	Western Kanjobal
knk	Kuranko
knl	Keninjal
knm	Kanamarí
knn	Konkani (individual language)
kno	Kono (Sierra Leone)
knp	Kwanja
knq	Kintaq
knr	Kaningra
kns	Kensiu
knt	Panoan Katukína
knu	Kono (Guinea)
knv	Tabo
knw	Kung-Ekoka
knx	Kendayan
kny	Kanyok
knz	Kalamsé
ko	한국어, 조선어
koa	Konomala
kod	Kodi
koe	Kacipo-Balesi
kof	Kubi
kog	Cogui
koh	Koyo
koi	Komi-Permyak
kok	Konkani (macrolanguage)
kol	Kol (Papua New Guinea)
koo	Konzo
kop	Waube
koq	Kota (Gabon)
kos	Kosraean
kot	Lagwan
kou	Koke
kov	Kudu-Camo
kow	Kugama
koy	Koyukon
koz	Korak
kpa	Kutto
kpb	Mullu Kurumba
kpc	Curripaco
kpd	Koba
kpe	Kpelle
kpf	Komba
kpg	Kapingamarangi
kph	Kplang
kpi	Kofei
kpj	Karajá
kpk	Kpan
kpl	Kpala
kpm	Koho
kpo	Ikposo
kpq	Korupun-Sela
kpr	Korafe-Yegha
kps	Tehit
kpt	Karata
kpu	Kafoa
kpv	Komi-Zyrian
kpw	Kobon
kpx	Mountain Koiali
kpy	Koryak
kpz	Kupsabiny
kqa	Mum
kqb	Kovai
kqc	Doromu-Koki
kqd	Koy Sanjaq Surat
kqe	Kalagan
kqf	Kakabai
kqg	Khe
kqh	Kisankasa
kqi	Koitabu
kqj	Koromira
kqk	Kotafon Gbe
kql	Kyenele
kqm	Khisa
kqn	Kaonde
kqo	Eastern Krahn
kqp	Kimré
kqq	Krenak
kqr	Kimaragang
kqs	Northern Kissi
kqt	Klias River Kadazan
kqv	Okolod
kqw	Kandas
kqx	Mser
kqy	Koorete
kqz	Korana
kr	Kanuri
kra	Kumhali
krb	Karkin
krc	Karachay-Balkar
krd	Kairui-Midiki
kre	Panará
krf	Koro (Vanuatu)
krh	Kurama
kri	Krio
krj	Kinaray-A
krk	Kerek
krl	Karelian
krm	Krim
krn	Sapo
krp	Korop
krr	Kru'ng 2
krs	Gbaya (Sudan)
krt	Tumari Kanuri
kru	Kurukh
krv	Kavet
krw	Western Krahn
krx	Karon
kry	Kryts
krz	Sota Kanum
ks	कश्मीरी, كشميري‎
ksa	Shuwa-Zamani
ksb	Shambala
ksc	Southern Kalinga
ksd	Kuanua
kse	Kuni
ksf	Bafia
ksg	Kusaghe
ksh	Kölsch
ksi	Krisa
ksj	Uare
ksk	Kansa
ksl	Kumalu
ksm	Kumba
ksn	Kasiguranin
kso	Kofa
ksp	Kaba
ksq	Kwaami
ksr	Borong
kss	Southern Kisi
kst	Winyé
ksu	Khamyang
ksv	Kusu
ksw	S'gaw Karen
ksx	Kedang
ksy	Kharia Thar
ksz	Kodaku
kta	Katua
ktb	Kambaata
ktc	Kholok
ktd	Kokata
kte	Nubri
ktf	Kwami
kth	Karanga
kti	North Muyu
ktj	Plapo Krumen
ktl	Koroshi
ktm	Kurti
ktn	Karitiâna
kto	Kuot
ktp	Kaduo
ktr	Kota Marudu Tinagas
kts	South Muyu
ktt	Ketum
ktu	Kituba (Democratic Republic of Congo)
ktv	Eastern Katu
ktw	Kato
ktx	Kaxararí
kty	Kango (Bas-Uélé District)
ktz	Ju/'hoan
ku	Kurdî, كوردی‎
kub	Kutep
kuc	Kwinsu
kud	'Auhelawa
kue	Kuman (Papua New Guinea)
kuf	Western Katu
kug	Kupa
kuh	Kushi
kui	Kuikúro-Kalapálo
kuj	Kuria
kuk	Kepo'
kul	Kulere
kum	Kumyk
kun	Kunama
kuo	Kumukio
kup	Kunimaipa
kuq	Karipuna
kus	Kusaal
kut	Kutenai
kuu	Upper Kuskokwim
kuv	Kur
kuw	Kpagua
kux	Kukatja
kuy	Kuuku-Ya'u
kuz	Kunza
kv	коми кыв
kva	Bagvalal
kvb	Kubu
kvc	Kove
kvd	Kui (Indonesia)
kve	Kalabakan
kvf	Kabalai
kvg	Kuni-Boazi
kvh	Komodo
kvi	Kwang
kvj	Psikye
kvk	Korean Sign Language
kvl	Kayaw
kvm	Kendem
kvn	Border Kuna
kvo	Dobel
kvp	Kompane
kvq	Geba Karen
kvr	Kerinci
kvs	Kunggara
kvt	Lahta Karen
kvu	Yinbaw Karen
kvv	Kola
kvw	Wersing
kvx	Parkari Koli
kvy	Yintale Karen
kvz	Tsakwambo
kw	Kernewek
kwa	Dâw
kwb	Kwa
kwc	Likwala
kwd	Kwaio
kwe	Kwerba
kwf	Kwara'ae
kwg	Sara Kaba Deme
kwh	Kowiai
kwi	Awa-Cuaiquer
kwj	Kwanga
kwk	Kwakiutl
kwl	Kofyar
kwm	Kwambi
kwn	Kwangali
kwo	Kwomtari
kwp	Kodia
kwr	Kwer
kws	Kwese
kwt	Kwesten
kwu	Kwakum
kwv	Sara Kaba Náà
kww	Kwinti
kwx	Khirwar
kwy	San Salvador Kongo
kxa	Kairiru
kxb	Krobu
kxc	Konso
kxd	Brunei
kxf	Manumanaw Karen
kxh	Karo (Ethiopia)
kxi	Keningau Murut
kxj	Kulfa
kxk	Zayein Karen
kxl	Nepali Kurux
kxm	Northern Khmer
kxn	Kanowit-Tanjong Melanau
kxo	Kanoé
kxp	Wadiyara Koli
kxq	Smärky Kanum
kxr	Koro (Papua New Guinea)
kxs	Kangjia
kxt	Koiwat
kxu	Kui (India)
kxv	Kuvi
kxw	Konai
kxx	Likuba
kxy	Kayong
kxz	Kerewo
ky	Кыргызча, Кыргыз тили
kya	Kwaya
kyb	Butbut Kalinga
kyc	Kyaka
kyd	Karey
kye	Krache
kyf	Kouya
kyg	Keyagana
kyh	Karok
kyi	Kiput
kyj	Karao
kyk	Kamayo
kym	Kpatili
kyn	Northern Binukidnon
kyo	Kelon
kyp	Kang
kyq	Kenga
kyr	Kuruáya
kys	Baram Kayan
kyt	Kayagar
kyu	Western Kayah
kyv	Kayort
kyw	Kudmali
kyx	Rapoisi
kyy	Kambaira
kyz	Kayabí
kza	Western Karaboro
kzb	Kaibobo
kzc	Bondoukou Kulango
kzd	Kadai
kze	Kosena
kzf	Da'a Kaili
kzg	Kikai
kzi	Kelabit
kzj	Coastal Kadazan
kzl	Kayeli
kzm	Kais
kzn	Kokola
kzo	Kaningi
kzp	Kaidipang
kzq	Kaike
kzr	Karang
kzs	Sugut Dusun
kzt	Tambunan Dusun
kzu	Kayupulau
kzv	Komyandaret
kzw	Karirí-Xocó
kzx	Kamarian
kzy	Kango (Tshopo District)
kzz	Kalabra
la	latine, lingua latina
laa	Southern Subanen
lab	Linear A
lac	Lacandon
lad	Ladino
lae	Pattani
laf	Lafofa
lag	Langi
lah	Lahnda
lai	Lambya
laj	Lango (Uganda)
lak	Laka (Nigeria)
lal	Lalia
lam	Lamba
lan	Laru
lap	Laka (Chad)
laq	Qabiao
lar	Larteh
las	Lama (Togo)
lau	Laba
law	Lauje
lax	Tiwa
lay	Lama Bai
lb	Lëtzebuergesch
lbb	Label
lbc	Lakkia
lbe	Lak
lbf	Tinani
lbg	Laopang
lbi	La'bi
lbj	Ladakhi
lbk	Central Bontok
lbl	Libon Bikol
lbm	Lodhi
lbn	Lamet
lbo	Laven
lbq	Wampar
lbr	Lohorung
lbs	Libyan Sign Language
lbt	Lachi
lbu	Labu
lbv	Lavatbura-Lamusong
lbw	Tolaki
lbx	Lawangan
lby	Lamu-Lamu
lbz	Lardil
lcc	Legenyem
lcd	Lola
lce	Loncong
lcf	Lubu
lch	Luchazi
lcl	Lisela
lcm	Tungag
lcp	Western Lawa
lcq	Luhu
lcs	Lisabata-Nuniali
lda	Kla-Dan
ldb	Dũya
ldg	Lenyima
ldh	Lamja-Dengsa-Tola
ldi	Laari
ldj	Lemoro
ldk	Leelau
ldl	Kaan
ldm	Landoma
ldn	Láadan
ldo	Loo
ldp	Tso
ldq	Lufu
lea	Lega-Shabunda
leb	Lala-Bisa
lec	Leco
led	Lendu
lee	Lyélé
lef	Lelemi
leh	Lenje
lei	Lemio
lej	Lengola
lek	Leipon
lel	Lele (Democratic Republic of Congo)
lem	Nomaande
len	Lenca
leo	Leti (Cameroon)
lep	Lepcha
leq	Lembena
ler	Lenkau
les	Lese
let	Lesing-Gelimi
leu	Kara (Papua New Guinea)
lev	Lamma
lew	Ledo Kaili
lex	Luang
ley	Lemolang
lez	Lezghian
lfa	Lefa
lfn	Lingua Franca Nova
lg	Luganda
lga	Lungga
lgb	Laghu
lgg	Lugbara
lgh	Laghuu
lgi	Lengilu
lgk	Lingarak
lgl	Wala
lgm	Lega-Mwenga
lgn	Opuuo
lgq	Logba
lgr	Lengo
lgt	Pahi
lgu	Longgu
lgz	Ligenza
lha	Laha (Viet Nam)
lhh	Laha (Indonesia)
lhi	Lahu Shi
lhl	Lahul Lohar
lhm	Lhomi
lhn	Lahanan
lhp	Lhokpu
lht	Lo-Toga
lhu	Lahu
li	Limburgs
lia	West-Central Limba
lib	Likum
lic	Hlai
lid	Nyindrou
lie	Likila
lif	Limbu
lig	Ligbi
lih	Lihir
lij	Ligurian
lik	Lika
lil	Lillooet
lio	Liki
lip	Sekpele
liq	Libido
lir	Liberian English
lis	Lisu
liu	Logorik
liv	Liv
liw	Col
lix	Liabuku
liy	Banda-Bambari
liz	Libinza
lje	Rampi
lji	Laiyolo
ljl	Li'o
ljp	Lampung Api
ljw	Yirandali
lka	Lakalei
lkb	Kabras
lkc	Kucong
lkd	Lakondê
lke	Kenyi
lkh	Lakha
lki	Laki
lkj	Remun
lkl	Laeko-Libuat
lkn	Lakon
lko	Khayo
lkr	Päri
lks	Kisa
lkt	Lakota
lky	Lokoya
lla	Lala-Roba
llb	Lolo
llc	Lele (Guinea)
lld	Ladin
lle	Lele (Papua New Guinea)
llg	Lole
llh	Lamu
lli	Teke-Laali
lll	Lilau
llm	Lasalimu
lln	Lele (Chad)
llo	Khlor
llp	North Efate
llq	Lolak
lls	Lithuanian Sign Language
llu	Lau
llx	Lauan
lma	East Limba
lmb	Merei
lmd	Lumun
lme	Pévé
lmf	South Lembata
lmg	Lamogai
lmh	Lambichhong
lmi	Lombi
lmj	West Lembata
lmk	Lamkang
lml	Hano
lmn	Lambadi
lmo	Lombard
lmp	Limbum
lmq	Lamatuka
lmr	Lamalera
lmu	Lamenu
lmv	Lomaiviti
lmw	Lake Miwok
lmx	Laimbue
lmy	Lamboya
lmz	Lumbee
ln	Lingála
lna	Langbashe
lnb	Mbalanhu
lnd	Lundayeh
lng	Langobardic
lnh	Lanoh
lni	Daantanai'
lnl	South Central Banda
lnm	Langam
lnn	Lorediakarkar
lno	Lango (Sudan)
lns	Lamnso'
lnu	Longuda
lnz	Lonzo
lo	ພາສາລາວ
loa	Loloda
lob	Lobi
loc	Inonhan
loe	Saluan
lof	Logol
log	Logo
loh	Narim
loi	Loma (Côte d'Ivoire)
loj	Lou
lok	Loko
lol	Mongo
lom	Loma (Liberia)
lon	Malawi Lomwe
loo	Lombo
lop	Lopa
loq	Lobala
lor	Téén
los	Loniu
lot	Otuho
lou	Louisiana Creole French
lov	Lopi
low	Tampias Lobu
loy	Loke
loz	Lozi
lpa	Lelepa
lpe	Lepki
lpn	Long Phuri Naga
lpo	Lipo
lpx	Lopit
lra	Rara Bakati'
lrc	Northern Luri
lre	Laurentian
lrg	Laragia
lri	Marachi
lrk	Loarki
lrl	Lari
lrm	Marama
lrn	Lorang
lro	Laro
lrr	Southern Yamphu
lrt	Larantuka Malay
lrv	Larevat
lrz	Lemerig
lsa	Lasgerdi
lsd	Lishana Deni
lse	Lusengo
lsg	Lyons Sign Language
lsh	Lish
lsi	Lashi
lsl	Latvian Sign Language
lsm	Saamia
lso	Laos Sign Language
lsp	Panamanian Sign Language
lsr	Aruop
lss	Lasi
lst	Trinidad and Tobago Sign Language
lsy	Mauritian Sign Language
lt	lietuvių kalba
ltc	Late Middle Chinese
ltg	Latgalian
lti	Leti (Indonesia)
ltn	Latundê
lto	Tsotso
lts	Tachoni
ltu	Latu
lu	Tshiluba
lua	Luba-Lulua
luc	Aringa
lud	Ludian
lue	Luvale
lui	Luiseno
luj	Luna
luk	Lunanakha
lul	Olu'bo
lum	Luimbi
lun	Lunda
luo	Luo (Kenya and Tanzania)
lup	Lumbu
luq	Lucumi
lur	Laura
lus	Lushai
lut	Lushootseed
luu	Lumba-Yakkha
luv	Luwati
luw	Luo (Cameroon)
luy	Luyia
luz	Southern Luri
lv	latviešu valoda
lva	Maku'a
lvk	Lavukaleve
lvs	Standard Latvian
lvu	Levuka
lwa	Lwalu
lwe	Lewo Eleng
lwg	Wanga
lwh	White Lachi
lwl	Eastern Lawa
lwm	Laomian
lwo	Luwo
lwt	Lewotobi
lwu	Lawu
lww	Lewo
lya	Layakha
lyg	Lyngngam
lyn	Luyana
lzh	Literary Chinese
lzl	Litzlitz
lzn	Leinong Naga
lzz	Laz
maa	San Jerónimo Tecóatl Mazatec
mab	Yutanduchi Mixtec
mad	Madurese
mae	Bo-Rukul
maf	Mafa
mag	Magahi
mai	Maithili
maj	Jalapa De Díaz Mazatec
mak	Makasar
mam	Mam
man	Mandingo
maq	Chiquihuitlán Mazatec
mas	Masai
mat	San Francisco Matlatzinca
mau	Huautla Mazatec
mav	Sateré-Mawé
maw	Mampruli
max	North Moluccan Malay
maz	Central Mazahua
mba	Higaonon
mbb	Western Bukidnon Manobo
mbc	Macushi
mbd	Dibabawon Manobo
mbf	Baba Malay
mbh	Mangseng
mbi	Ilianen Manobo
mbj	Nadëb
mbk	Malol
mbl	Maxakalí
mbm	Ombamba
mbn	Macaguán
mbo	Mbo (Cameroon)
mbp	Malayo
mbq	Maisin
mbr	Nukak Makú
mbs	Sarangani Manobo
mbt	Matigsalug Manobo
mbu	Mbula-Bwazza
mbv	Mbulungish
mbw	Maring
mbx	Mari (East Sepik Province)
mby	Memoni
mbz	Amoltepec Mixtec
mca	Maca
mcb	Machiguenga
mcc	Bitur
mcd	Sharanahua
mce	Itundujia Mixtec
mcf	Matsés
mcg	Mapoyo
mch	Maquiritari
mci	Mese
mcj	Mvanip
mck	Mbunda
mcl	Macaguaje
mcm	Malaccan Creole Portuguese
mcn	Masana
mco	Coatlán Mixe
mcp	Makaa
mcq	Ese
mcr	Menya
mcs	Mambai
mct	Mengisa
mcu	Cameroon Mambila
mcv	Minanibai
mcw	Mawa (Chad)
mcx	Mpiemo
mcy	South Watut
mcz	Mawan
mda	Mada (Nigeria)
mdb	Morigi
mdc	Male (Papua New Guinea)
mdd	Mbum
mde	Maba (Chad)
mdf	Moksha
mdg	Massalat
mdh	Maguindanaon
mdi	Mamvu
mdj	Mangbetu
mdk	Mangbutu
mdl	Maltese Sign Language
mdm	Mayogo
mdn	Mbati
mdp	Mbala
mdq	Mbole
mdr	Mandar
mds	Maria (Papua New Guinea)
mdt	Mbere
mdu	Mboko
mdv	Santa Lucía Monteverde Mixtec
mdw	Mbosi
mdx	Dizin
mdy	Male (Ethiopia)
mdz	Suruí Do Pará
mea	Menka
meb	Ikobi
mec	Mara
med	Melpa
mee	Mengen
mef	Megam
meh	Southwestern Tlaxiaco Mixtec
mei	Midob
mej	Meyah
mek	Mekeo
mel	Central Melanau
mem	Mangala
men	Mende (Sierra Leone)
meo	Kedah Malay
mep	Miriwung
meq	Merey
mer	Meru
mes	Masmaje
met	Mato
meu	Motu
mev	Mano
mew	Maaka
mey	Hassaniyya
mez	Menominee
mfa	Pattani Malay
mfb	Bangka
mfc	Mba
mfd	Mendankwe-Nkwen
mfe	Morisyen
mff	Naki
mfg	Mogofin
mfh	Matal
mfi	Wandala
mfj	Mefele
mfk	North Mofu
mfl	Putai
mfm	Marghi South
mfn	Cross River Mbembe
mfo	Mbe
mfp	Makassar Malay
mfq	Moba
mfr	Marithiel
mfs	Mexican Sign Language
mft	Mokerang
mfu	Mbwela
mfv	Mandjak
mfx	Melo
mfy	Mayo
mfz	Mabaan
mg	fiteny malagasy
mga	Middle Irish (900-1200)
mgb	Mararit
mgc	Morokodo
mgd	Moru
mge	Mango
mgf	Maklew
mgg	Mpumpong
mgh	Makhuwa-Meetto
mgi	Lijili
mgj	Abureni
mgk	Mawes
mgl	Maleu-Kilenge
mgm	Mambae
mgn	Mbangi
mgo	Meta'
mgp	Eastern Magar
mgq	Malila
mgr	Mambwe-Lungu
mgs	Manda (Tanzania)
mgt	Mongol
mgu	Mailu
mgv	Matengo
mgw	Matumbi
mgy	Mbunga
mgz	Mbugwe
mh	Kajin M̧ajeļ
mha	Manda (India)
mhb	Mahongwe
mhc	Mocho
mhd	Mbugu
mhe	Besisi
mhf	Mamaa
mhg	Margu
mhi	Ma'di
mhj	Mogholi
mhk	Mungaka
mhl	Mauwake
mhm	Makhuwa-Moniga
mhn	Mócheno
mho	Mashi (Zambia)
mhp	Balinese Malay
mhq	Mandan
mhr	Eastern Mari
mhs	Buru (Indonesia)
mht	Mandahuaca
mhu	Digaro-Mishmi
mhw	Mbukushu
mhx	Maru
mhy	Ma'anyan
mhz	Mor (Mor Islands)
mi	te reo Māori
mia	Miami
mib	Atatláhuca Mixtec
mic	Mi'kmaq
mid	Mandaic
mie	Ocotepec Mixtec
mif	Mofu-Gudur
mig	San Miguel El Grande Mixtec
mih	Chayuco Mixtec
mii	Chigmecatitlán Mixtec
mij	Abar
mik	Mikasuki
mil	Peñoles Mixtec
mim	Alacatlatzala Mixtec
min	Minangkabau
mio	Pinotepa Nacional Mixtec
mip	Apasco-Apoala Mixtec
miq	Mískito
mir	Isthmus Mixe
mis	Uncoded languages
mit	Southern Puebla Mixtec
miu	Cacaloxtepec Mixtec
miw	Akoye
mix	Mixtepec Mixtec
miy	Ayutla Mixtec
miz	Coatzospan Mixtec
mjc	San Juan Colorado Mixtec
mjd	Northwest Maidu
mjg	Tu
mjh	Mwera (Nyasa)
mji	Kim Mun
mjj	Mawak
mjk	Matukar
mjl	Mandeali
mjm	Medebur
mjn	Ma (Papua New Guinea)
mjo	Malankuravan
mjp	Malapandaram
mjq	Malaryan
mjr	Malavedan
mjs	Miship
mjt	Sauria Paharia
mju	Manna-Dora
mjv	Mannan
mjw	Karbi
mjx	Mahali
mjy	Mahican
mjz	Majhi
mk	македонски јазик
mka	Mbre
mkb	Mal Paharia
mkc	Siliput
mke	Mawchi
mkf	Miya
mkg	Mak (China)
mki	Dhatki
mkj	Mokilese
mkk	Byep
mkl	Mokole
mkm	Moklen
mkn	Kupang Malay
mko	Mingang Doso
mkp	Moikodi
mkq	Bay Miwok
mkr	Malas
mks	Silacayoapan Mixtec
mkt	Vamale
mku	Konyanka Maninka
mkv	Mafea
mkw	Kituba (Congo)
mkx	Kinamiging Manobo
mky	East Makian
mkz	Makasae
ml	മലയാളം
mla	Malo
mlb	Mbule
mlc	Cao Lan
mle	Manambu
mlf	Mal
mlh	Mape
mli	Malimpung
mlj	Miltu
mlk	Ilwana
mll	Malua Bay
mlm	Mulam
mln	Malango
mlo	Mlomp
mlp	Bargam
mlq	Western Maninkakan
mlr	Vame
mls	Masalit
mlu	To'abaita
mlv	Motlav
mlw	Moloko
mlx	Malfaxal
mlz	Malaynon
mma	Mama
mmb	Momina
mmc	Michoacán Mazahua
mmd	Maonan
mme	Mae
mmf	Mundat
mmg	North Ambrym
mmh	Mehináku
mmi	Musar
mmj	Majhwar
mmk	Mukha-Dora
mml	Man Met
mmm	Maii
mmn	Mamanwa
mmo	Mangga Buang
mmp	Siawi
mmq	Musak
mmr	Western Xiangxi Miao
mmt	Malalamai
mmu	Mmaala
mmv	Miriti
mmw	Emae
mmx	Madak
mmy	Migaama
mmz	Mabaale
mn	монгол
mna	Mbula
mnb	Muna
mnc	Manchu
mnd	Mondé
mne	Naba
mnf	Mundani
mng	Eastern Mnong
mnh	Mono (Democratic Republic of Congo)
mni	Manipuri
mnj	Munji
mnk	Mandinka
mnl	Tiale
mnm	Mapena
mnn	Southern Mnong
mnp	Min Bei Chinese
mnq	Minriq
mnr	Mono (USA)
mns	Mansi
mnu	Mer
mnv	Rennell-Bellona
mnw	Mon
mnx	Manikion
mny	Manyawa
mnz	Moni
moa	Mwan
moc	Mocoví
mod	Mobilian
moe	Montagnais
mog	Mongondow
moh	Mohawk
moi	Mboi
moj	Monzombo
mok	Morori
mom	Mangue
moo	Monom
mop	Mopán Maya
moq	Mor (Bomberai Peninsula)
mor	Moro
mos	Mossi
mot	Barí
mou	Mogum
mov	Mohave
mow	Moi (Congo)
mox	Molima
moy	Shekkacho
moz	Mukulu
mpa	Mpoto
mpb	Mullukmulluk
mpc	Mangarayi
mpd	Machinere
mpe	Majang
mpg	Marba
mph	Maung
mpi	Mpade
mpj	Martu Wangka
mpk	Mbara (Chad)
mpl	Middle Watut
mpm	Yosondúa Mixtec
mpn	Mindiri
mpo	Miu
